__layer,CEP,COD_ID,PN_CON,lon,lat,DIST,PAC,RAMAL,UNI_TR_MT,CTMT,UNI_TR_AT,SUB,CONJ,MUN,CEG_GD,BRR,CLAS_SUB,CNAE,TIP_CC,FAS_CON,GRU_TEN,TEN_FORN,GRU_TAR,SIT_ATIV,DAT_CON,CAR_INST,LIV,ARE_LOC,TIP_SIST,ENE_01,ENE_02,ENE_03,ENE_04,ENE_05,ENE_06,ENE_07,ENE_08,ENE_09,ENE_10,ENE_11,ENE_12,DIC_01,DIC_02,DIC_03,DIC_04,DIC_05,DIC_06,DIC_07,DIC_08,DIC_09,DIC_10,DIC_11,DIC_12,FIC_01,FIC_02,FIC_03,FIC_04,FIC_05,FIC_06,FIC_07,FIC_08,FIC_09,FIC_10,FIC_11,FIC_12,SEMRED,DESCR
UCBT_tab,01310-200,1401f2f7d756c00d7a14ca9fcbc2b0ca4db497edb3b6452a53a2db5f16adf2d2,10971323,,,390,33071144739360737L,12297875S1,14374375,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2006 BELA VISTA,RE1, ,RES-Tipo02,BCN,BT,10,B1,DS,01/03/1974,5.2,0,UB,RD_INTERLIG,60.04,170.0,170.0,150.0,120.0,130.0,130.0,120.0,110.0,170.0,120.0,116.51,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,6c2e4c9389457fb35d67f391b8748ca95b547c695f9550bd94a65a65b4f66e4e,10971323,,,390,33071144739360737L,12297875S1,14374375,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2006 BELA VISTA,CO1,9512-6/00,COM-Tipo02,ABN,BT,10,B3,DS,01/07/1973,7.9,0,UB,RD_INTERLIG,202.0,208.0,335.905,182.0,229.0,144.0,108.36,81.74,163.0,180.0,82.01,137.7,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,7e558994e3ebfd94d7316f19739993d6be84e2a3ce730746615d11d4bc800b52,10971323,,,390,33071144739360737L,12297875S1,14374375,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2006 BELA VISTA,RE1, ,RES-Tipo01,CAN,BT,10,B1,DS,01/08/1973,2.7,0,UB,RD_INTERLIG,5.0,50.0,20.0,10.0,20.0,10.0,20.0,10.0,10.0,20.0,50.0,19.41,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,7ad1a240c789eb906a4e2db784143ede275a947e97dfe70e49e7a9eb5100d242,10971323,,,390,33071144739360737L,12297875S1,14374375,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2006 BELA VISTA,RE1, ,RES-Tipo01,ABN,BT,10,B1,DS,01/05/1973,6.4,0,UB,RD_INTERLIG,28.51,54.0,67.0,54.0,73.0,58.0,56.0,59.0,58.0,74.0,50.0,67.96,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,a4f434e43c1da752f59e460222c0cab9adc65df513e886e3ede90bf9f60b332c,10971323,,,390,33071144739360737L,12297875S1,14374375,AUG0201,DAUG-EQ-TR2,DAUG,16584,3550308, ,AV PAULISTA 2006 BELA VISTA,RE1, ,COM-Tipo02,CAN,BT,10,B1,AT,01/03/1973,2.6,0,UB,RD_INTERLIG,45.03,80.0,60.0,50.0,60.0,0.0,0.0,0.0,0.0,120.0,49.0,70.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,c616d24fa8870f630182ab87f9cb084b4ef2158b58ffc3774e8c9b4afb1ae823,10971323,,,390,33071144739360737L,12297875S1,14374375,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2006 BELA VISTA,RE1, ,RES-Tipo01,ABN,BT,10,B1,DS,01/10/1973,7.5,0,UB,RD_INTERLIG,25.01,50.0,70.0,50.0,60.0,50.0,50.0,30.0,50.0,20.0,50.0,48.54,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,a0b043b73fbf9ae9c40710ac5e18ea8274030fe73cfea9d5d6e634d9fc3fa6ef,10971323,,,390,33071144739360737L,12297875S1,14374375,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2006 BELA VISTA,CO9,8211-3/00,COM-Tipo02,BCN,BT,10,B3,DS,01/04/1980,11.4,0,UB,RD_INTERLIG,50.0,50.0,54.354,50.0,50.0,50.0,42.0,30.5,50.0,50.0,29.5,47.81,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,fe2796064a796e013c9cff5adfee9f1cb366f47b4041a739ee2c8205db66224a,10971323,,,390,33071144739360737L,12297875S1,14374375,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2006 BELA VISTA,RE2, ,RES-Tipo01,BCN,BT,10,B1BR,DS,01/09/1990,1.0,0,UB,RD_INTERLIG,0.0,0.0,20.0,40.0,40.0,30.0,30.0,40.0,40.0,50.0,70.0,77.67,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,a4178be2837370af5c1dd9d181656bf11f269576c9e0784abf93018c72a26a7e,10971323,,,390,33071144739360737L,12297875S1,14374375,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2006 BELA VISTA,RE1, ,RES-Tipo03,ABN,BT,10,B1,DS,01/06/1983,3.5,0,UB,RD_INTERLIG,55.03,160.0,220.0,160.0,150.0,80.0,90.0,110.0,90.0,90.0,70.0,67.96,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,da86d11ecd7d09ceba0626bf29db9ff2c713316e1348976e44ecefd88d1a853a,10971323,,,390,33071144739360737L,12297875S1,14374375,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2006 BELA VISTA,RE1, ,RES-Tipo02,ABN,BT,10,B1,DS,01/06/1974,6.6,0,UB,RD_INTERLIG,105.07,230.0,280.0,200.0,210.0,150.0,130.0,180.0,200.0,240.0,190.0,203.89,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
